Score 10 20 21 30 31 32 40 41 42 43 50 51 52 53 54 60 61 62 70 71 00 11 22 33 44 55 01 02 12 03 13 23 04 14 24 34 05 15 25 06 16 26 07 17 
WestBrom_A 6.46 10.42 9.01 21.17 18.89 31.56 54.67 50.78 86.0 173.56 146.71 141.0 219.57 271.0 301.0 213.5 213.5 313.5 151.0 151.0 9.2 5.94 14.61 71.33 219.5 301.0 8.73 16.11 11.78 39.56 30.11 43.33 123.0 93.44 125.78 214.67 297.43 236.71 322.43 151.0 151.0 151.0 151.0 151.0 
Birmingham_H 8.49 6.72 8.559999999999999 7.81 9.71 22.79 12.06 15.11 35.44 112.44 20.71 25.86 57.43 198.5 331.0 39.33 51.0 91.0 76.33 94.33 19.59 11.0 20.35 73.58 238.25 301.0 25.32 57.18 25.58 172.0 81.88 66.61 257.0 261.89 250.78 231.33 271.0 271.0 271.0 151.0 151.0 151.0 151.0 151.0 
Cardiff_A 6.22 7.17 8.11 11.39 12.53 26.25 24.56 27.78 56.33 149.67 51.71 60.86 119.57 280.17 401.0 101.0 111.0 192.67 213.5 213.5 11.19 6.72 16.16 71.92 250.75 401.0 12.43 26.4 15.6 77.54 45.94 48.98 248.0 162.44 174.11 245.22 351.0 363.5 376.0 151.0 151.0 151.0 151.0 151.0 
Preston_H 7.12 6.1 8.67 7.36 10.6 27.68 11.94 17.11 45.89 150.89 21.57 31.14 79.57 301.0 401.0 44.33 58.0 121.0 91.0 121.0 14.91 9.24 21.95 89.03 310.25 401.0 24.09 55.89 28.92 186.64 93.58 87.45 319.63 285.25 214.78 285.25 351.0 351.0 351.0 151.0 151.0 151.0 151.0 151.0 
Norwich_H 8.34 7.74 8.02 9.35 9.73 18.29 15.13 16.630000000000003 30.63 80.5 28.57 28.57 53.86 155.17 391.0 52.67 54.33 87.67 106.0 107.67 19.12 8.440000000000001 14.99 45.83 247.75 401.0 21.95 40.67 19.81 99.37 47.54 44.63 261.57 169.63 140.88 185.25 351.0 346.0 355.17 151.0 151.0 151.0 151.0 151.0 
Bristol_A 6.01 7.78 8.11 13.29 14.14 28.37 32.11 34.44 65.78 160.22 73.86 82.71 159.57 359.33 301.0 137.67 144.33 213.5 313.5 313.5 9.75 6.15 15.76 70.28 250.75 301.0 10.81 21.55 14.15 60.89 41.12 48.09 193.0 145.78 161.89 211.89 305.17 271.83 288.5 151.0 151.0 151.0 151.0 151.0 
Rotherham_H 7.47 5.42 9.88 6.16 10.97 37.15 8.71 16.939999999999998 55.22 209.11 15.14 26.43 83.29 321.83 401.0 29.67 47.67 117.67 54.33 87.67 17.57 12.78 36.83 165.08 297.14 401.0 31.92 91.63 44.22 193.82 160.77 135.75 297.14 322.63 322.63 322.63 351.0 351.0 351.0 151.0 151.0 151.0 5000 151.0 
Swansea_A 7.75 8.280000000000001 7.93 11.39 11.35 19.9 23.22 22.0 39.44 100.33 46.71 46.71 78.86 215.17 321.0 87.67 87.67 136.0 201.0 201.0 14.83 7.79 13.88 49.58 214.67 301.0 15.08 27.67 14.66 67.64 38.5 37.53 193.0 128.0 128.0 163.56 266.0 263.5 263.5 126.0 126.0 126.0 126.0 126.0 
Plymouth_A 9.76 8.1 8.309999999999999 9.45 9.82 18.83 15.11 15.5 30.67 80.33 26.29 26.86 48.86 134.33 291.0 51.0 51.0 87.67 97.67 104.33 22.86 8.99 15.64 49.46 217.44 401.0 24.28 43.81 21.08 114.46 53.71 46.18 267.44 167.44 149.67 174.67 346.0 266.0 346.83 126.0 151.0 151.0 151.0 151.0 
Leicester_H 7.92 10.78 8.33 17.92 15.05 21.68 45.78 35.11 54.67 100.89 104.71 86.71 126.71 296.83 321.0 184.33 159.33 163.5 151.0 326.0 12.48 6.04 11.87 42.08 220.22 301.0 10.17 17.65 11.22 36.82 24.03 28.2 105.33 68.44 84.22 131.33 290.29 187.43 229.57 151.0 326.0 151.0 151.0 151.0 
Town_A 6.8 7.5 7.82 10.53 11.79 22.06 22.0 22.78 44.78 122.44 47.43 48.14 90.43 263.5 341.0 91.0 94.33 159.33 163.5 163.5 12.68 6.92 14.85 57.65 263.25 301.0 14.4 29.17 16.17 78.88 44.4 45.72 248.0 151.33 152.44 220.78 266.0 288.5 288.5 126.0 126.0 151.0 151.0 151.0 
Stoke_H 7.87 6.99 8.0 9.02 10.38 21.68 15.22 17.39 39.11 112.0 28.67 33.46 68.14 215.17 401.0 51.0 57.67 106.0 112.67 126.0 17.25 8.440000000000001 16.92 63.67 282.0 401.0 21.38 42.1 21.42 117.2 59.78 57.3 282.0 211.89 190.22 245.22 351.0 351.0 363.5 151.0 151.0 151.0 151.0 151.0 
